"filename", "language", "Python", "TypeScript", "JSON with Comments", "Markdown", "YAML", "pip requirements", "JSON", "Docker", "TypeScript JSX", "XML", "comment", "blank", "total"
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\runtime\triton_trtllm\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\runtime\triton_trtllm\scripts\convert_checkpoint.py", "Python", 293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33, 331
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\runtime\triton_trtllm\scripts\fill_template.py", "Python", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 11, 70
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\runtime\triton_trtllm\scripts\test_llm.py", "Python", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 24, 139
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\runtime\triton_trtllm\streaming_inference.py", "Python", 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25, 123
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\runtime\triton_trtllm\token2wav.py", "Python", 256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 53, 336
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\runtime\triton_trtllm\token2wav_dit.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\tools\extract_embedding.py", "Python", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 10, 78
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\tools\extract_speech_token.py", "Python", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 10, 73
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\tools\make_parquet_list.py", "Python", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 9, 129
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\vllm_example.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 40
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\webui.py", "Python", 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 19, 175
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\Wav2Lip\README.md", "Markdown", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 25, 85
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\Wav2Lip\Wav2Lip.py", "Python", 245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 58, 311
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\Wav2Lip\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\Wav2Lip\audio.py", "Python", 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 47, 176
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\Wav2Lip\checkpoints\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\Wav2Lip\checkpoints\haarcascade_frontalface_default.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33271, 43, 0, 33314
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\Wav2Lip\hparams.py", "Python", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 21, 102
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\Wav2Lip\models\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
